"","X.1","Ensayo","Estimulo","Respuesta","Correcto","Aciertos","Errores","Hits","ContadorH","Rechazos","ContadorR","Falsas.alarmas","ContadorF","Omisiones","ContadorM","Confidence","RTime1","RTime1b","RTime2","Color","X","facilidad","senal","tipo","choice","outcome","Exito","HR6","FR6","HR5","FR5","HR4","FR4","HR3","FR3","HR2","FR2","HR1","FR1"
"227",227,226,57,"s","True",136,91,"True",71,"False",65,"False",44,"False",47,6,1.85315012932,0.351955890656,0.802052021027,"Purpura",NA,"pocos","senal","4 AS",1,4,1,"1","0","1","0","1","0","1","0","1","0","1","0"
"228",228,227,7,"s","True",137,91,"True",72,"False",65,"False",44,"False",47,6,2.45245194435,0.951363801956,0.601454973221,"Azul",NA,"pocos","senal","4 AS",1,4,1,"1","0","1","0","1","0","1","0","1","0","1","0"
"229",229,228,423,"n","False",137,92,"False",72,"False",65,"False",44,"True",48,2,1.95117807388,0.45067691803,0.601607084274,"Purpura",NA,"muchos","senal","3 BS",0,2,0,"0","0","0","0","0","0","0","0","1","0","1","0"
"230",230,229,236,"s","False",137,93,"False",72,"False",65,"True",45,"False",48,6,1.64087319374,0.139685153961,0.401133060455,"Verde",NA,"pocos","ruido","1 AN",1,1,0,"0","1","0","1","0","1","0","1","0","1","0","1"
"231",231,230,618,"s","False",137,94,"False",72,"False",65,"True",46,"False",48,5,2.85005903244,1.34885215759,0.701778888702,"Purpura",NA,"muchos","ruido","2 BN",1,1,0,"0","0","0","1","0","1","0","1","0","1","0","1"
"232",232,231,393,"n","False",137,95,"False",72,"False",65,"False",46,"True",49,1,1.74782896042,0.246690988541,0.601791858673,"Purpura",NA,"muchos","senal","3 BS",0,2,0,"0","0","0","0","0","0","0","0","0","0","1","0"
"233",233,232,166,"n","True",138,95,"False",72,"True",66,"False",46,"False",49,1,1.65164899826,0.151099920273,0.401180028915,"Purpura",NA,"pocos","ruido","1 AN",0,3,1,"0","0","0","0","0","0","0","0","0","0","0","1"
"234",234,233,97,"s","True",139,95,"True",73,"False",66,"False",46,"False",49,5,1.85221195221,0.351318836212,0.701932907104,"Naranja",NA,"pocos","senal","4 AS",1,4,1,"0","0","1","0","1","0","1","0","1","0","1","0"
"235",235,234,299,"n","True",140,95,"False",73,"True",67,"False",46,"False",49,1,1.74112606049,0.240033864975,0.401093959808,"Naranja",NA,"pocos","ruido","1 AN",0,3,1,"0","0","0","0","0","0","0","0","0","0","0","1"
"236",236,235,552,"n","True",141,95,"False",73,"True",68,"False",46,"False",49,1,1.64669084549,0.145566940308,0.100369930267,"Azul",NA,"muchos","ruido","2 BN",0,3,1,"0","0","0","0","0","0","0","0","0","0","0","1"
"237",237,236,60,"s","True",142,95,"True",74,"False",68,"False",46,"False",49,5,2.65533089638,1.15420007706,0.602250099182,"Verde",NA,"pocos","senal","4 AS",1,4,1,"0","0","1","0","1","0","1","0","1","0","1","0"
"238",238,237,160,"s","True",143,95,"True",75,"False",68,"False",46,"False",49,6,1.75169086456,0.251453876495,0.701924800873,"Purpura",NA,"pocos","senal","4 AS",1,4,1,"1","0","1","0","1","0","1","0","1","0","1","0"
"239",239,238,35,"s","True",144,95,"True",76,"False",68,"False",46,"False",49,6,1.65159797668,0.150503873825,0.401213884354,"Purpura",NA,"pocos","senal","4 AS",1,4,1,"1","0","1","0","1","0","1","0","1","0","1","0"
"240",240,239,186,"s","False",144,96,"False",76,"False",68,"True",47,"False",49,6,2.25422406197,0.753071069717,0.501726150513,"Azul",NA,"pocos","ruido","1 AN",1,1,0,"0","1","0","1","0","1","0","1","0","1","0","1"
"241",241,240,382,"n","False",144,97,"False",76,"False",68,"False",47,"True",50,1,2.15207695961,0.651429891586,0.401631116867,"Naranja",NA,"muchos","senal","3 BS",0,2,0,"0","0","0","0","0","0","0","0","0","0","1","0"
"242",242,241,507,"s","False",144,98,"False",76,"False",68,"True",48,"False",50,6,2.24807286263,0.747015953064,0.501429080963,"Azul",NA,"muchos","ruido","2 BN",1,1,0,"0","1","0","1","0","1","0","1","0","1","0","1"
"243",243,242,487,"n","True",145,98,"False",76,"True",69,"False",48,"False",50,1,3.05077910423,1.5496931076,0.401141166687,"Purpura",NA,"muchos","ruido","2 BN",0,3,1,"0","0","0","0","0","0","0","0","0","0","0","1"
"244",244,243,410,"n","False",145,99,"False",76,"False",69,"False",48,"True",51,1,2.25173807144,0.751127958298,0.300884008408,"Azul",NA,"muchos","senal","3 BS",0,2,0,"0","0","0","0","0","0","0","0","0","0","1","0"
"245",245,244,274,"n","True",146,99,"False",76,"True",70,"False",48,"False",51,1,2.35323810577,0.852053165436,0.301292181015,"Verde",NA,"pocos","ruido","1 AN",0,3,1,"0","0","0","0","0","0","0","0","0","0","0","1"
"246",246,245,308,"n","True",147,99,"False",76,"True",71,"False",48,"False",51,1,1.94876003265,0.447640895844,0.301576852798,"Naranja",NA,"pocos","ruido","1 AN",0,3,1,"0","0","0","0","0","0","0","0","0","0","0","1"
"247",247,246,450,"s","True",148,99,"True",77,"False",71,"False",48,"False",51,5,1.74982404709,0.249310970306,0.701757907867,"Naranja",NA,"muchos","senal","3 BS",1,4,1,"0","0","1","0","1","0","1","0","1","0","1","0"
"248",248,247,429,"s","True",149,99,"True",78,"False",71,"False",48,"False",51,6,1.84710812569,0.345916986465,0.501421928406,"Purpura",NA,"muchos","senal","3 BS",1,4,1,"1","0","1","0","1","0","1","0","1","0","1","0"
"249",249,248,511,"n","True",150,99,"False",78,"True",72,"False",48,"False",51,1,1.64664888382,0.145550966263,0.30077290535,"Naranja",NA,"muchos","ruido","2 BN",0,3,1,"0","0","0","0","0","0","0","0","0","0","0","1"
"250",250,249,513,"s","False",150,100,"False",78,"False",72,"True",49,"False",51,6,1.75069093704,0.250061035156,0.401004076004,"Azul",NA,"muchos","ruido","2 BN",1,1,0,"0","1","0","1","0","1","0","1","0","1","0","1"
"251",251,250,383,"s","True",151,100,"True",79,"False",72,"False",49,"False",51,6,1.65086698532,0.150285005569,0.200565814972,"Purpura",NA,"muchos","senal","3 BS",1,4,1,"1","0","1","0","1","0","1","0","1","0","1","0"
"252",252,251,267,"s","False",151,101,"False",79,"False",72,"True",50,"False",51,6,1.65107607841,0.149885892868,0.200647115707,"Naranja",NA,"pocos","ruido","1 AN",1,1,0,"0","1","0","1","0","1","0","1","0","1","0","1"
"253",253,252,87,"n","False",151,102,"False",79,"False",72,"False",50,"True",52,1,1.63987207413,0.138792991638,2.70657587051,"Azul",NA,"pocos","senal","4 AS",0,2,0,"0","0","0","0","0","0","0","0","0","0","1","0"
