"","X.5","X.4","X.3","X.2","X.1","Ensayo","Estimulo","Comparacion","SignallPosition","Respuesta","Eleccion","OpcionPredicha","RTime1","RTime2","Color","Hits","ContadorH","Rechazos","ContadorR","Falsas.alarmas","ContadorF","Omisiones","ContadorM","X","SignalPosition","SignalPos"
"118",118,118,118,118,118,117,149,"4 BS-AN","Left","left","BS",1,2.03714299202,1.03665494919,"Azul",1,57,1,57,0,21,0,21,NA,"Left","Left"
"119",119,119,119,119,119,118,78,"3 BS-BN","Right","right","BS",1,1.83625388145,0.835530042648,"Verde",1,58,1,58,0,21,0,21,NA,"Right","Right"
"120",120,120,120,120,120,119,39,"1 AS-AN","Left","right","AN",0,1.23474907875,0.234451055527,"Azul",0,58,0,58,1,22,1,22,NA,"Right","Right"
"121",121,121,121,121,121,120,142,"2 AS-BN","Left","left","AS",1,1.43524694443,0.434687852859,"Verde",1,59,1,59,0,22,0,22,NA,"Left","Left"
"122",122,122,122,122,122,121,265,"6 AN-BN","None","left","AN",0,1.63608407974,0.635673046112,"Azul",NA,59,NA,59,NA,22,NA,22,NA,"Left","Left"
"123",123,123,123,123,123,122,125,"2 AS-BN","Left","right","BN",0,2.43774485588,1.43728399277,"Purpura",0,59,0,59,1,23,1,23,NA,"Right","Right"
"124",124,124,124,124,124,123,70,"3 BS-BN","Right","left","BN",0,1.83607292175,0.835571050644,"Azul",0,59,0,59,1,24,1,24,NA,"Right","Right"
"125",125,125,125,125,125,124,40,"1 AS-AN","Right","left","AN",0,1.73601698875,0.735810041428,"Purpura",0,59,0,59,1,25,1,25,NA,"Left","Left"
"126",126,126,126,126,126,125,47,"1 AS-AN","Left","right","AN",0,1.23520708084,0.234822034836,"Azul",0,59,0,59,1,26,1,26,NA,"Left","Left"
"127",127,127,127,127,127,126,115,"2 AS-BN","Right","right","AS",1,1.13486790657,0.134336948395,"Naranja",1,60,1,60,0,26,0,26,NA,"Right","Right"
"128",128,128,128,128,128,127,166,"4 BS-AN","Left","left","BS",1,1.13442897797,0.134058952332,"Naranja",1,61,1,61,0,26,0,26,NA,"Right","Right"
"129",129,129,129,129,129,128,105,"2 AS-BN","Left","left","AS",1,1.23510503769,0.233945131302,"Naranja",1,62,1,62,0,26,0,26,NA,"Left","Left"
"130",130,130,130,130,130,129,213,"5 AS-BS","Both","left","AS",1,1.63583397865,0.635257959366,"Azul",NA,62,NA,62,NA,26,NA,26,NA,"Left","Left"
"131",131,131,131,131,131,130,31,"1 AS-AN","Left","right","AN",0,1.23497009277,0.234538078308,"Azul",0,62,0,62,1,27,1,27,NA,"Right","Right"
"132",132,132,132,132,132,131,249,"6 AN-BN","None","right","BN",1,1.13393902779,0.133688926697,"Verde",NA,62,NA,62,NA,27,NA,27,NA,"Right","Right"
"133",133,133,133,133,133,132,147,"4 BS-AN","Right","right","BS",1,1.33539199829,0.334841966629,"Naranja",1,63,1,63,0,27,0,27,NA,"Left","Left"
"134",134,134,134,134,134,133,90,"3 BS-BN","Right","left","BN",0,1.43536996841,0.434228897095,"Naranja",0,63,0,63,1,28,1,28,NA,"Left","Left"
"135",135,135,135,135,135,134,19,"1 AS-AN","Left","right","AN",0,1.53578901291,0.534814834595,"Naranja",0,63,0,63,1,29,1,29,NA,"Right","Right"
"136",136,136,136,136,136,135,223,"5 AS-BS","Both","left","AS",1,1.43510389328,0.434047937393,"Naranja",NA,63,NA,63,NA,29,NA,29,NA,"Right","Right"
"137",137,137,137,137,137,136,226,"5 AS-BS","Both","right","AS",1,2.13677191734,1.1363530159,"Verde",NA,63,NA,63,NA,29,NA,29,NA,"Left","Left"
"138",138,138,138,138,138,137,183,"4 BS-AN","Right","right","BS",1,1.83610200882,0.834958076477,"Purpura",1,64,1,64,0,29,0,29,NA,"Left","Left"
"139",139,139,139,139,139,138,204,"5 AS-BS","Both","left","BS",0,1.63231301308,0.631177186966,"Purpura",NA,64,NA,64,NA,29,NA,29,NA,"Right","Right"
"140",140,140,140,140,140,139,218,"5 AS-BS","Both","right","AS",1,1.43523192406,0.434687852859,"Naranja",NA,64,NA,64,NA,29,NA,29,NA,"Right","Right"
"141",141,141,141,141,141,140,242,"6 AN-BN","None","left","BN",1,2.739164114,1.73869395256,"Purpura",NA,64,NA,64,NA,29,NA,29,NA,"Left","Left"
"142",142,142,142,142,142,141,247,"6 AN-BN","None","left","AN",0,1.73598599434,0.735275030136,"Azul",NA,64,NA,64,NA,29,NA,29,NA,"Left","Left"
"143",143,143,143,143,143,142,6,"1 AS-AN","Right","left","AN",0,1.33523106575,0.334630012512,"Azul",0,64,0,64,1,30,1,30,NA,"Right","Right"
"144",144,144,144,144,144,143,262,"6 AN-BN","None","right","AN",0,1.83614015579,0.835571050644,"Azul",NA,64,NA,64,NA,30,NA,30,NA,"Right","Right"
"145",145,145,145,145,145,144,71,"3 BS-BN","Left","right","BN",0,1.23200511932,0.231167078018,"Verde",0,64,0,64,1,31,1,31,NA,"Left","Left"
"146",146,146,146,146,146,145,22,"1 AS-AN","Right","left","AN",0,1.33505988121,0.334542989731,"Azul",0,64,0,64,1,32,1,32,NA,"Left","Left"
"147",147,147,147,147,147,146,160,"4 BS-AN","Right","right","BS",1,1.23505401611,0.234625101089,"Naranja",1,65,1,65,0,32,0,32,NA,"Right","Right"
"148",148,148,148,148,148,147,252,"6 AN-BN","None","right","AN",0,1.13458299637,0.134055137634,"Azul",NA,65,NA,65,NA,32,NA,32,NA,"Right","Right"
"149",149,149,149,149,149,148,124,"2 AS-BN","Right","right","AS",1,1.13488197327,0.134289979935,"Azul",1,66,1,66,0,32,0,32,NA,"Left","Left"
"150",150,150,150,150,150,149,288,"6 AN-BN","None","left","BN",1,2.33730792999,1.33685684204,"Purpura",NA,66,NA,66,NA,32,NA,32,NA,"Left","Left"
"151",151,151,151,151,151,150,145,"4 BS-AN","Left","left","BS",1,1.13537406921,0.134339094162,"Verde",1,67,1,67,0,32,0,32,NA,"Right","Right"
"152",152,152,152,152,152,151,23,"1 AS-AN","Left","right","AN",0,1.13542699814,0.134963035583,"Verde",0,67,0,67,1,33,1,33,NA,"Right","Right"
"153",153,153,153,153,153,152,263,"6 AN-BN","None","left","AN",0,2.83899402618,1.83842301369,"Purpura",NA,67,NA,67,NA,33,NA,33,NA,"Left","Left"
"154",154,154,154,154,154,153,33,"1 AS-AN","Left","left","AS",1,1.13445997238,0.134175777435,"Verde",1,68,1,68,0,33,0,33,NA,"Left","Left"
"155",155,155,155,155,155,154,264,"6 AN-BN","None","left","BN",1,1.73705601692,0.735985040665,"Naranja",NA,68,NA,68,NA,33,NA,33,NA,"Right","Right"
"156",156,156,156,156,156,155,209,"5 AS-BS","Both","left","AS",1,1.1345410347,0.134319782257,"Naranja",NA,68,NA,68,NA,33,NA,33,NA,"Right","Right"
"157",157,157,157,157,157,156,89,"3 BS-BN","Left","left","BS",1,1.3355050087,0.334331035614,"Verde",1,69,1,69,0,33,0,33,NA,"Left","Left"
"158",158,158,158,158,158,157,162,"4 BS-AN","Left","left","BS",1,1.23479795456,0.234322071075,"Azul",1,70,1,70,0,33,0,33,NA,"Left","Left"
"159",159,159,159,159,159,158,104,"2 AS-BN","Right","right","AS",1,1.23506307602,0.234446048737,"Verde",1,71,1,71,0,33,0,33,NA,"Right","Right"
"160",160,160,160,160,160,159,109,"2 AS-BN","Left","left","AS",1,1.13450598717,0.133412837982,"Purpura",1,72,1,72,0,33,0,33,NA,"Right","Right"
"161",161,161,161,161,161,160,26,"1 AS-AN","Right","right","AS",1,1.13528299332,0.134135007858,"Naranja",1,73,1,73,0,33,0,33,NA,"Left","Left"
"162",162,162,162,162,162,161,236,"5 AS-BS","Both","left","BS",0,1.13442397118,0.13386797905,"Verde",NA,73,NA,73,NA,33,NA,33,NA,"Left","Left"
"163",163,163,163,163,163,162,42,"1 AS-AN","Right","left","AN",0,1.33533811569,0.334963083267,"Naranja",0,73,0,73,1,34,1,34,NA,"Right","Right"
"164",164,164,164,164,164,163,81,"3 BS-BN","Left","left","BS",1,1.73600196838,0.735543012619,"Verde",1,74,1,74,0,34,0,34,NA,"Right","Right"
"165",165,165,165,165,165,164,255,"6 AN-BN","None","right","BN",1,2.037088871,1.03680896759,"Verde",NA,74,NA,74,NA,34,NA,34,NA,"Left","Left"
"166",166,166,166,166,166,165,43,"1 AS-AN","Left","right","AN",0,1.93648600578,0.935367107391,"Purpura",0,74,0,74,1,35,1,35,NA,"Left","Left"
"167",167,167,167,167,167,166,65,"3 BS-BN","Left","left","BS",1,1.53591680527,0.534972906113,"Azul",1,75,1,75,0,35,0,35,NA,"Right","Right"
